time,city,temperature_2m_min,temperature_2m_mean,temperature_2m_max,temp_range,daylight,precipitation_sum,precipitation_hours,precipitation_rate,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
2010-01-01,Karachi,14.8,20.9,26.0,11.2,10.633333333333333,0.0,0,0.0,18.3,25.6,16.25,4.38
2010-01-02,Karachi,15.6,20.5,25.3,9.700000000000001,10.616666666666667,0.0,0,0.0,24.6,35.3,9.15,3.84
2010-01-03,Karachi,14.3,19.9,25.0,10.7,10.633333333333333,0.0,0,0.0,16.6,28.1,16.03,3.69
2010-01-04,Karachi,15.0,20.4,25.6,10.600000000000001,10.65,0.0,0,0.0,14.0,22.7,16.32,3.63
2010-01-05,Karachi,16.3,20.7,25.4,9.099999999999998,10.65,0.0,0,0.0,19.3,29.2,16.37,3.55
2010-01-06,Karachi,15.1,19.8,24.1,9.000000000000002,10.666666666666666,0.0,0,0.0,16.8,29.2,16.15,3.19
2010-01-07,Karachi,15.1,20.9,26.0,10.9,10.666666666666666,0.0,0,0.0,19.8,28.1,16.45,3.95
2010-01-08,Karachi,15.9,20.3,25.5,9.6,10.666666666666666,0.0,0,0.0,25.9,40.7,16.62,5.1
2010-01-09,Karachi,14.8,19.6,25.4,10.599999999999998,10.683333333333334,0.0,0,0.0,24.9,38.9,16.72,4.54
2010-01-10,Karachi,13.9,19.7,25.9,11.999999999999998,10.7,0.0,0,0.0,20.1,32.8,16.85,4.49
2010-01-11,Karachi,15.8,19.6,24.3,8.5,10.7,0.7,3,0.2333333333333333,25.3,38.9,11.86,4.4
2010-01-12,Karachi,15.0,18.9,22.5,7.5,10.716666666666667,0.0,0,0.0,15.3,24.8,15.44,3.31
2010-01-13,Karachi,13.0,19.1,24.3,11.3,10.733333333333333,0.0,0,0.0,12.4,18.7,17.22,3.58
2010-01-14,Karachi,12.6,19.1,24.6,12.000000000000002,10.75,0.0,0,0.0,15.9,23.8,16.88,4.02
2010-01-15,Karachi,14.4,19.4,25.5,11.1,10.75,0.0,0,0.0,16.9,28.4,15.78,4.6
2010-01-16,Karachi,13.5,19.5,26.6,13.100000000000001,10.766666666666667,0.0,0,0.0,20.8,32.8,17.49,4.64
2010-01-17,Karachi,12.2,19.4,25.7,13.5,10.783333333333333,0.0,0,0.0,18.0,27.4,17.53,3.76
2010-01-18,Karachi,14.2,20.1,25.8,11.600000000000001,10.8,0.0,0,0.0,10.4,15.8,17.29,3.17
2010-01-19,Karachi,14.2,20.2,26.1,11.900000000000002,10.816666666666666,0.0,0,0.0,11.1,22.7,17.43,3.51
2010-01-20,Karachi,14.6,20.7,26.5,11.9,10.833333333333334,0.0,0,0.0,14.5,24.5,17.36,3.65
2010-01-21,Karachi,15.6,21.0,26.8,11.200000000000001,10.85,0.0,0,0.0,17.9,31.3,15.88,3.7
2010-01-22,Karachi,15.0,20.3,25.4,10.399999999999999,10.866666666666667,0.0,0,0.0,17.8,28.8,17.94,3.81
2010-01-23,Karachi,16.4,21.1,25.5,9.100000000000001,10.883333333333333,0.0,0,0.0,18.6,28.4,17.14,3.37
2010-01-24,Karachi,17.1,21.7,27.1,10.0,10.883333333333333,0.0,0,0.0,13.7,25.6,16.84,3.29
2010-01-25,Karachi,16.2,21.9,28.1,11.900000000000002,10.916666666666666,0.0,0,0.0,15.9,32.4,17.95,4.4
2010-01-26,Karachi,15.5,21.6,27.0,11.5,10.933333333333334,0.0,0,0.0,16.3,23.4,18.14,4.21
2010-01-27,Karachi,15.8,21.1,25.9,10.099999999999998,10.933333333333334,0.0,0,0.0,17.3,27.0,17.87,3.96
2010-01-28,Karachi,17.5,21.9,25.9,8.399999999999999,10.966666666666667,0.0,0,0.0,21.7,34.2,16.96,3.66
2010-01-29,Karachi,16.9,21.5,26.0,9.100000000000001,10.983333333333333,0.0,0,0.0,20.2,29.2,18.03,3.69
2010-01-30,Karachi,16.0,21.6,27.0,11.0,11.0,0.0,0,0.0,14.6,22.0,18.22,3.75
2010-01-31,Karachi,15.8,21.2,26.1,10.3,11.016666666666667,0.0,0,0.0,18.2,28.4,18.4,3.97
2010-02-01,Karachi,17.0,21.4,26.5,9.5,11.033333333333333,0.0,0,0.0,19.8,31.3,18.37,3.9
2010-02-02,Karachi,15.7,21.9,27.7,12.0,11.066666666666666,0.0,0,0.0,12.4,21.6,18.41,3.66
2010-02-03,Karachi,17.1,23.0,29.1,12.0,11.066666666666666,0.0,0,0.0,23.7,36.7,18.62,5.12
2010-02-04,Karachi,17.2,23.1,29.5,12.3,11.1,0.0,0,0.0,16.8,28.8,18.67,4.78
2010-02-05,Karachi,16.3,23.1,30.0,13.7,11.116666666666667,0.0,0,0.0,14.4,23.4,18.54,4.6
2010-02-06,Karachi,16.6,23.5,29.3,12.7,11.15,0.0,0,0.0,13.7,27.0,18.78,4.36
2010-02-07,Karachi,18.1,22.6,26.0,7.899999999999999,11.15,0.0,0,0.0,14.8,25.2,17.23,3.6
